iter	Logloss
0	0.4693560099
1	0.3423271239
2	0.2615234099
3	0.1998733704
4	0.1704959132
5	0.1421578191
6	0.1220013721
7	0.107893447
8	0.09764586449
9	0.08961654787
10	0.08274959632
11	0.07673757198
12	0.07169826517
13	0.06684589641
14	0.06333024853
15	0.06104542865
16	0.05843404041
17	0.05577475881
18	0.05340195981
19	0.05079753694
20	0.04759605881
21	0.04616600127
22	0.04385756838
23	0.04248399294
24	0.04073823429
25	0.03869600679
26	0.03752715763
27	0.03636406156
28	0.03486177631
29	0.03363338927
30	0.03239397234
31	0.0315662026
32	0.03061101218
33	0.02957953653
34	0.0286451956
35	0.0281137971
36	0.0266469519
37	0.02541218604
38	0.02445794901
39	0.02373137026
40	0.02318906777
41	0.02275638311
42	0.02188248757
43	0.02104480285
44	0.02033955814
45	0.01995639953
46	0.01932406506
47	0.01887978223
48	0.01839850254
49	0.01795884145
50	0.01722676425
51	0.01662757985
52	0.01622846258
53	0.01596146143
54	0.01567567341
55	0.01511918279
56	0.01460564782
57	0.01430444422
58	0.01378910611
59	0.01349581743
60	0.01332712854
61	0.01286803948
62	0.01260941807
63	0.01235622614
64	0.01214959152
65	0.0119857286
66	0.01175384889
67	0.01158815023
68	0.01144185142
69	0.01126889683
70	0.01103258288
71	0.01082730056
72	0.01063546709
73	0.01041684744
74	0.01016352179
75	0.009983660532
76	0.009791789614
77	0.009579665914
78	0.009438434472
79	0.009210883515
80	0.009155002006
81	0.00899935215
82	0.008706379858
83	0.008560233668
84	0.008300226767
85	0.008203730136
86	0.008082861128
87	0.008019710659
88	0.00793892105
89	0.007841171935
90	0.007752984935
91	0.007630656027
92	0.007515583512
93	0.007459825896
94	0.007250972913
95	0.007151551555
96	0.007053001492
97	0.007018379874
98	0.006805843021
99	0.006757640557
100	0.006635136156
101	0.006505641719
102	0.006425320322
103	0.006381566147
104	0.006335845947
105	0.006260947803
106	0.006166716826
107	0.006134458381
108	0.006051912462
109	0.005944547183
110	0.0058507416
111	0.005759509822
112	0.005700004434
113	0.005613017124
114	0.005582136281
115	0.005500450583
116	0.005451606399
117	0.005425120675
118	0.00537883209
119	0.005253292573
120	0.005218306567
121	0.005077678418
122	0.00504813875
123	0.005023382524
124	0.004999622866
125	0.004974881624
126	0.004936287426
127	0.004905549249
128	0.00486335649
129	0.004821035919
130	0.004789804874
131	0.004689827771
132	0.004614251757
133	0.004561598576
134	0.00449078454
135	0.004438055687
136	0.004416297866
137	0.004311721717
138	0.004263365477
139	0.00422142837
140	0.004175515722
141	0.004142912618
142	0.004111068759
143	0.004077579765
144	0.004061279888
145	0.004044860624
146	0.003988498913
147	0.003905411451
148	0.003887382374
149	0.00382489861
150	0.003796615464
151	0.003702622393
152	0.00368468164
153	0.003655807193
154	0.003605476871
155	0.003585365243
156	0.003566007524
157	0.003490770443
158	0.003398387856
159	0.003379870641
160	0.00331981239
161	0.003294687107
162	0.00322286568
163	0.003210937883
164	0.003195145418
165	0.003166061673
166	0.003151221145
167	0.003130729039
168	0.003115825583
169	0.003062341563
170	0.003062341563
171	0.003045426873
172	0.003033293986
173	0.003008344693
174	0.002956979684
175	0.002956984077
176	0.002956984077
177	0.00295696853
178	0.002956947545
179	0.002956947545
180	0.002956921338
181	0.002956921338
182	0.002956921338
183	0.002956948341
184	0.002956948341
185	0.002956942593
186	0.002956909321
187	0.002956912841
188	0.002956912841
189	0.002956914634
190	0.002956914634
191	0.002956891357
192	0.002956871698
193	0.002956867892
194	0.002956877939
195	0.002956870472
196	0.00295684183
197	0.002956834684
198	0.002956845131
199	0.002956879116
